"artist","song","song_parts","key","bpm","chords","link","roman","roman_features","song_join_code","artist_name","album_name","album_release_date","year","phase"
"The Beatles","Lovely Rita","Verse","Ebmaj",84,"Eb-Db-Ab-Eb-Bb-cm-F-Bb-Eb-Ab-Db-Gb-Eb-Bb-Eb-Ab-Db-Gb-Eb-Bb-Eb-cm-F7-Bb","http://www.hooktheory.com/theorytab/view/the-beatles/lovely-rita","I-V/iii-IV-I-V-vi-V/V-V-I-IV-V/iii-bIII/(min)-I-V-I-IV-V/iii-bIII/(min)-I-V-I-vi-V/V-V","I-V/iii-IV-I-V-vi-V/V-V-I-IV-V/iii-bIII/(min)-I-V-I-IV-V/iii-bIII/(min)-I-V-I-vi-V7/V-V","lovely rita","The Beatles","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967,"Late"
"The Beatles","Lovely Rita","Chorus","Ebmaj",128,"Bb-Ab-Eb-Bb","http://www.hooktheory.com/theorytab/view/the-beatles/lovely-rita","V-IV-I-V","V-IV-I-V","lovely rita","The Beatles","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967,"Late"
"The Beatles","With A Little Help From My Friends","Verse","Emaj",109,"E-B-f#m-f#m-B7-E-E-B-f#m-f#m-B7-E-D-A-E-D-A-E-A-E-B","http://www.hooktheory.com/theorytab/view/the-beatles/with-a-little-help-from-my-friends","I-V-ii-ii-V-I-I-V-ii-ii-V-I-IV/IV-IV-I-IV/IV-IV-I-IV-I-V","I-V-ii-ii-V7-I-I-V-ii-ii-V7-I-IV/IV-IV-I-IV/IV-IV-I-IV-I-V","with a little help from my friends","The Beatles","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967,"Late"
"The Beatles","With A Little Help From My Friends","Bridge","Emaj",110,"c#m7-F#-E-D-A-c#m7-F#-E-D-A","http://www.hooktheory.com/theorytab/view/the-beatles/with-a-little-help-from-my-friends","vi-V/V-I-IV/IV-IV-vi-V/V-I-IV/IV-IV","vi7-V/V-I-IV/IV-IV-vi7-V/V-I-IV/IV-IV","with a little help from my friends","The Beatles","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967,"Late"
"The Beatles","For No One","Verse","Bmaj",80,"B-B-g#m-B-E-A-B","http://www.hooktheory.com/theorytab/view/the-beatles/for-no-one","I-I-vi-I-IV-IV/IV-I","I-I-vi-I-IV-IV/IV-I","for no one","The Beatles","Revolver","1966-08-05",1966,"Late"
"The Beatles","For No One","Bridge","Bmaj",84,"c#m-G#7-c#m-c#m-G#7-c#m-c#m-F#sus4-F#","http://www.hooktheory.com/theorytab/view/the-beatles/for-no-one","ii-V/ii-ii-ii-V/ii-ii-ii-V-V","ii-V7/ii-ii-ii-V7/ii-ii-ii-Vsus4-V","for no one","The Beatles","Revolver","1966-08-05",1966,"Late"
"The Beatles","Something","Verse","Cmaj",64,"F-Eb-G7-C-Cmaj7-C7-F-C-D7-G-am7-G-am-E-am-D(add9)-F-Eb-G","http://www.hooktheory.com/theorytab/view/the-beatles/something","IV-bIII/(min)-V-I-I-V/IV-IV-I-V/V-V-vi-V-vi-V/vi-vi-V/V-IV-bIII/(min)-V","IV-bIII/(min)-V7-I-Imaj7-V7/IV-IV-I-V7/V-V-vi7-V-vi-V/vi-vi-V(add9)/V-IV-bIII/(min)-V","something","The Beatles","Abbey Road","1969-09-26",1969,"Late"
"The Beatles","Something","Solo","Cmaj",64,"C-Cmaj7-C7-F-C-D7-G-G-am-E-am-f#o-F-Eb-G","http://www.hooktheory.com/theorytab/view/the-beatles/something","I-I-V/IV-IV-I-V/V-V-V-vi-V/vi-vi-vii/V-IV-bIII/(min)-V","I-Imaj7-V7/IV-IV-I-V7/V-V-V-vi-V/vi-vi-viio/V-IV-bIII/(min)-V","something","The Beatles","Abbey Road","1969-09-26",1969,"Late"
"The Beatles","All Together Now","Intro","Gmaj",90,"G-D7-G-D7-G-G-D7-G-D7-G","http://www.hooktheory.com/theorytab/view/the-beatles/all-together-now","I-V-I-V-I-I-V-I-V-I","I-V7-I-V7-I-I-V7-I-V7-I","all together now","The Beatles","Yellow Submarine","1969-01-17",1969,"Late"
"The Beatles","All Together Now","Pre-Chorus","Gmaj",90,"C-G-C-D-D7","http://www.hooktheory.com/theorytab/view/the-beatles/all-together-now","IV-I-IV-V-V","IV-I-IV-V-V7","all together now","The Beatles","Yellow Submarine","1969-01-17",1969,"Late"
