"artist","song","song_parts","key","bpm","chords","link","roman"
"The Beatles","Twist And Shout","Chorus","Dmaj",124,"A-A-A-A7-A7-A7-D-G-A-A7-D-G-A-A7-D-G-A-A7-D-G-A-A7","http://www.hooktheory.com/theorytab/view/the-beatles/twist-and-shout","V-V-V-V-V-V-I-IV-V-V-I-IV-V-V-I-IV-V-V-I-IV-V-V"
"The Beatles","Strawberry Fields Forever","Intro","Amaj",92,"E-E-g#m-g#m-g#o-g#o-D-do-D-D-E-E-D-A-A-A-A-A-A-A-A-A-A-em-em-em-em-em-em-em-em-F#-F#-F#-F#-F#-F#-F#-F#-D-D-F#-F#-F#-F#-F#-D-D-A","http://www.hooktheory.com/theorytab/view/the-beatles/strawberry-fields-forever","V-V-vii(lyd)-vii(lyd)-vii-vii-IV-NA-IV-IV-V-V-IV-I-I-I-I-I-I-I-I-I-I-v(min)-v(min)-v(min)-v(min)-v(min)-v(min)-v(min)-v(min)-I/vi-I/vi-I/vi-I/vi-I/vi-I/vi-I/vi-I/vi-IV-IV-I/vi-I/vi-I/vi-I/vi-I/vi-IV-IV-I"
"The Beatles","I'm Looking Through You","Verse","Abmaj",168,"Ab-A-bsus4-Ab-bbm-fm-Eb-Ab-A-bsus4-Ab-bbm-fm-Eb-fm7-bbm7-Ab-Db-Eb-Ab-A-bsus4-Ab-bbm-Db-Ab-Ab-Db-Db-Ab-Ab-Db-Db-Ab-Ab-Db-Db-Ab","http://www.hooktheory.com/theorytab/view/the-beatles/im-looking-through-you","I-NA-NA-I-ii-vi-V-I-NA-NA-I-ii-vi-V-vi-ii-I-IV-V-I-NA-NA-I-ii-IV-I-I-IV-IV-I-I-IV-IV-I-I-IV-IV-I"
"The Beatles","We Can Work It Out","Verse","Dmaj",102,"D-Dsus4-D-Dsus4-C-D-D-Dsus4-D-Dsus4-C-D-G-D-G-A","http://www.hooktheory.com/theorytab/view/the-beatles/we-can-work-it-out","I-I-I-I-IV/IV-I-I-I-I-I-IV/IV-I-IV-I-IV-V"
"The Beatles","We Can Work It Out","Bridge","Cmaj",120,"","http://www.hooktheory.com/theorytab/view/the-beatles/we-can-work-it-out","NA"
"Beatles","Something","Verse","Cmaj",64,"F-Eb-G7-C-Cmaj7-C7-F-C-D7-G-am7-G-am-E-am-D(add9)-F-Eb-G","http://www.hooktheory.com/theorytab/view/beatles/something","IV-bIII(min)-V-I-I-V/IV-IV-I-V/V-V-vi-V-vi-V/vi-vi-V/V-IV-bIII(min)-V"
"Beatles","Something","Bridge","Amaj",143,"A-c#m-f#m-E-D-D-G-A-c#m-G-f#m-F-E-A-c#m-f#m-f#m-E-D-G-C-C-am-G-em-dm","http://www.hooktheory.com/theorytab/view/beatles/something","I-iii-vi-V-IV-IV-IV/IV-I-iii-IV/IV-vi-bVI(min)-V-I-iii-vi-vi-V-IV-IV/IV-bIII(min)-bIII(min)-i(min)-IV/IV-v(min)-iv(min)"
"The Beatles","Honey Pie","Verse","Gmaj",141,"G-Eb-E-A-D-G-Eb-D","http://www.hooktheory.com/theorytab/view/the-beatles/honey-pie","I-bVI(min)-I/vi-V/V-V-I-bVI(min)-V"
"The Beatles","Honey Pie","Bridge","Gmaj",141,"em-A-G-C-E-am-D","http://www.hooktheory.com/theorytab/view/the-beatles/honey-pie","vi-V/V-I-IV-I/vi-ii-V"
"The Beatles","Things We Said Today","Verse","Amin",139,"am-em-am-em-am-em-am-em-am-em-am-em-am-em-am-em","http://www.hooktheory.com/theorytab/view/the-beatles/things-we-said-today","i-v-i-v-i-v-i-v-i-v-i-v-i-v-i-v"
"The Beatles","Things We Said Today","Pre-Chorus","Amin",140,"C-C9-F-Bb-am-em-am-em-am-em-am","http://www.hooktheory.com/theorytab/view/the-beatles/things-we-said-today","III-NA-VI-vi/IV-i-v-i-v-i-v-i"
