"","artist","song","song_parts","chords","link"
"85","The Beatles","Hello Goodbye","Chorus","C-C-am7-am-F-Ab-C-C-am7-am-F-Bb7-C","http://www.hooktheory.com/theorytab/view/the-beatles/hello-goodbye"
"86","The Beatles","Norwegian Wood","Verse","E-E-A-E","http://www.hooktheory.com/theorytab/view/the-beatles/day-tripper"
"87","The Beatles","Norwegian Wood","Chorus","F#7-A-G#7-C#-B","http://www.hooktheory.com/theorytab/view/the-beatles/day-tripper"
"88","The Beatles","Day Tripper","Verse","G-am-bm-C-G-am-bm-C-f#m7-B7-f#m7-B7-em-am-am7-D7","http://www.hooktheory.com/theorytab/view/the-beatles/here-there-and-everywhere"
"89","The Beatles","Day Tripper","Bridge","am7-D7-F7-Bb-gm-cm-D7-gm-cm-D7-G-am","http://www.hooktheory.com/theorytab/view/the-beatles/here-there-and-everywhere"
"90","The Beatles","Here There And Everywhere","Chorus","A-A-A-A7-A7-A7-D-G-A-A7-D-G-A-A7-D-G-A-A7-D-G-A-A7","http://www.hooktheory.com/theorytab/view/the-beatles/twist-and-shout"
"91","The Beatles","Twist And Shout","Verse","D-G-G-D-bm-D-g#m7(b5)-E7sus2-A-D-A-D-A-D-A-D-D-dm7-G-D","http://www.hooktheory.com/theorytab/view/the-beatles/mother-natures-son"
"92","The Beatles","Mother Nature's Son","Intro","E-E-g#m-g#m-g#o-g#o-D-do-D-D-E-E-D-A-A-A-A-A-A-A-A-A-A-em-em-em-em-em-em-em-em-F#-F#-F#-F#-F#-F#-F#-F#-D-D-F#-F#-F#-F#-F#-D-D-A","http://www.hooktheory.com/theorytab/view/the-beatles/strawberry-fields-forever"
"93","The Beatles","Strawberry Fields Forever","Verse","Ab-A-bsus4-Ab-bbm-fm-Eb-Ab-A-bsus4-Ab-bbm-fm-Eb-fm7-b-bm7-Ab-Db-Eb-Ab-A-bsus4-Ab-bbm-Db-Ab-Ab-Db-Db-Ab-Ab-Db-Db-Ab-Ab-Db-Db-Ab","http://www.hooktheory.com/theorytab/view/the-beatles/im-looking-through-you"
"94","The Beatles","I'm Looking Through You","Verse","D-Dsus4-D-Dsus4-C-D-D-Dsus4-D-Dsus4-C-D-G-D-G-A","http://www.hooktheory.com/theorytab/view/the-beatles/we-can-work-it-out"
"95","The Beatles","I'm Looking Through You","Bridge","","http://www.hooktheory.com/theorytab/view/the-beatles/we-can-work-it-out"
"96","The Beatles","We Can Work It Out","Verse","G-Eb-E-A-D-G-Eb-D","http://www.hooktheory.com/theorytab/view/the-beatles/honey-pie"
"97","The Beatles","We Can Work It Out","Bridge","em-A-G-C-E-am-D","http://www.hooktheory.com/theorytab/view/the-beatles/honey-pie"
"98","The Beatles","Honey Pie","Verse","am-em-am-em-am-em-am-em-am-em-am-em-am-em-am-em","http://www.hooktheory.com/theorytab/view/the-beatles/things-we-said-today"
"99","The Beatles","Honey Pie","Pre-Chorus","C-C9-F-Bb-am-em-am-em-am-em-am","http://www.hooktheory.com/theorytab/view/the-beatles/things-we-said-today"
"100","The Beatles","Honey Pie","Chorus","A-D-B-E7-A-D-B-Bb","http://www.hooktheory.com/theorytab/view/the-beatles/things-we-said-today"
"101","The Beatles","Things We Said Today","Verse","C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-B-b(add9)-B-b(add9)-B-b(add9)-B-b(add9)-B-b(add9)-B-b(add9)-B-b(add9)-B-b(add9)-C-C-C-C-C-C-C-C","http://www.hooktheory.com/theorytab/view/the-beatles/tomorrow-never-knows"
"102","The Beatles","Tomorrow Never Knows","Verse","C#-B-F#-d#m-g#m-B-C#-B-C#-B-F#-d#m-g#m-B-C#","http://www.hooktheory.com/theorytab/view/the-beatles/yellow-submarine"
"103","The Beatles","Tomorrow Never Knows","Chorus","F#-C#-C#-F#-F#-C#-C#-F#","http://www.hooktheory.com/theorytab/view/the-beatles/yellow-submarine"
"104","The Beatles","Yellow Submarine","Intro","A-A7-D-dm-A-A7-D-dm-A-A7-D-F-F-A-A7-D-dm-A-A7-D-D-dm-dm","http://www.hooktheory.com/theorytab/view/the-beatles/lucy-in-the-sky-with-diamonds"
"105","The Beatles","Yellow Submarine","Chorus","G-C-D-G-C-D-G-C-D-A","http://www.hooktheory.com/theorytab/view/the-beatles/lucy-in-the-sky-with-diamonds"
"106","The Beatles","Lucy in the Sky with Diamonds","Verse","gm-gm-gm-gm-gm-gm-gm-gm-cm-cm-cm6-cm6-cm-cm-am(b5)-am(b5)-cm-cm-do-do-cm-cm-D7-D7-gm-gm-D7-D7-gm-gm-gm-gm-G7-G7-G7-G7-G7-G7-G7-G7-G7-G7-cm-cm-cm-cm-cm7-cm7-dsus4-cm-gm-gm-gm-gm-gm-A-A-D7-gm-gm-cm-cm6-gm-gm-gm","http://www.hooktheory.com/theorytab/view/the-beatles/besame-mucho"
"107","The Beatles","Besame Mucho","Intro","fm-a-bm-Eb","http://www.hooktheory.com/theorytab/view/the-beatles/nowhere-man"
"108","The Beatles","Besame Mucho","Verse","E-B-A-E-f#m-am-E","http://www.hooktheory.com/theorytab/view/the-beatles/nowhere-man"
"109","The Beatles","Besame Mucho","Chorus","g#m-A-g#m-A-g#m-f#m-B","http://www.hooktheory.com/theorytab/view/the-beatles/nowhere-man"
"110","The Beatles","Besame Mucho","Solo","E-B-A-E-f#m-am-E","http://www.hooktheory.com/theorytab/view/the-beatles/nowhere-man"
"111","The Beatles","Nowhere Man","Verse","G-am-F-G-em-A-F","http://www.hooktheory.com/theorytab/view/the-beatles/cry-baby-cry"
"112","The Beatles","Nowhere Man","Chorus","em-B-em-c#m7(b5)-C-C7-G-em-B-em-c#m7(b5)-C-C7","http://www.hooktheory.com/theorytab/view/the-beatles/cry-baby-cry"
"113","The Beatles","Cry Baby Cry","Verse","B-B-E-E-B-B-B","http://www.hooktheory.com/theorytab/view/the-beatles/revolution"
"114","The Beatles","Cry Baby Cry","Chorus","B-E-B-E-B-E-F#","http://www.hooktheory.com/theorytab/view/the-beatles/revolution"
"115","The Beatles","Revolution","Verse","A-A-D-A-A-A-D-A","http://www.hooktheory.com/theorytab/view/the-beatles/get-back"
"116","The Beatles","Get Back","Intro","D-D-G-D-G-em-A-D-bm-em-A","http://www.hooktheory.com/theorytab/view/the-beatles/the-fool-on-the-hill"
"117","The Beatles","Get Back","Chorus","dm-gm-dm-Bb-C-dm","http://www.hooktheory.com/theorytab/view/the-beatles/the-fool-on-the-hill"
"118","The Beatles","The Fool on the Hill","Intro","bm-G-E7-A7","http://www.hooktheory.com/theorytab/view/the-beatles/help"
"119","The Beatles","The Fool on the Hill","Verse","A-c#m-f#m-D-A-A-c#m-f#m-D-A","http://www.hooktheory.com/theorytab/view/the-beatles/help"
"120","The Beatles","The Fool on the Hill","Chorus","bm-bm-G-G-E-A-A7-A","http://www.hooktheory.com/theorytab/view/the-beatles/help"
"121","The Beatles","Help","Intro","C-C-am-am-C-C-am-am-C-C-am-am-C-C-G7-G7-F7-F7-am-am-C-G7-C-am-C-C-am-am-C-C-G7-G7-F-F-am-am-C-G7-C-C-gm-gm-C7-C7-F-F-F-F-D7-D7-D7-D7-G","http://www.hooktheory.com/theorytab/view/the-beatles/from-me-to-you"
"122","The Beatles","From Me To You","Verse","Bb-Bb-F-F-F7-F7-Bb-Bb-Bb-Bb-Eb-Eb-Bb-F-Bb","http://www.hooktheory.com/theorytab/view/the-beatles/ob-la-di-ob-la-da"
"123","The Beatles","From Me To You","Chorus","Bb-Eb-Bb-F-Bb-Bb-F-gm-Bb-F-Bb-Bb-F-gm-Bb-F-Bb","http://www.hooktheory.com/theorytab/view/the-beatles/ob-la-di-ob-la-da"
"124","The Beatles","From Me To You","Bridge","Eb-Bb-Eb-F","http://www.hooktheory.com/theorytab/view/the-beatles/ob-la-di-ob-la-da"
"125","The Beatles","Ob-La-Di Ob-La-Da","Verse","am-Dsus4-D-G7-C-G","http://www.hooktheory.com/theorytab/view/the-beatles/rocky-raccoon"
"126","The Beatles","Rocky Raccoon","Verse","F-dm-gm-C-F-dm-am-F-Bb-C-dm-am-Bb-C-F-dm","http://www.hooktheory.com/theorytab/view/the-beatles/i-will"
"127","The Beatles","I Will","Intro","am(add9)-Fmaj7-em-am-em-em","http://www.hooktheory.com/theorytab/view/the-beatles/happiness-is-a-warm-gun"
"128","The Beatles","I Will","Verse","dm-am-dm-am-am-dm-am-dm-am-am","http://www.hooktheory.com/theorytab/view/the-beatles/happiness-is-a-warm-gun"
"129","The Beatles","Happiness is a Warm Gun","Verse","G-G-em-bm-D-G-em-bm-D-G-em-cm-D","http://www.hooktheory.com/theorytab/view/the-beatles/she-loves-you"
"130","The Beatles","She Loves You","Intro","C7-gm-C7-gm-Bb-gm-F-F7-Bb-gm-C7","http://www.hooktheory.com/theorytab/view/the-beatles/hey-bulldog"
"131","The Beatles","She Loves You","Bridge","cm-Ab-ao-cm7-fm-Db-do-fm7-co-fm","http://www.hooktheory.com/theorytab/view/the-beatles/hey-bulldog"
"132","The Beatles","She Loves You","Solo","C7-gm-C7-gm-Bb-gm-F-F7-Bb-gm-C7","http://www.hooktheory.com/theorytab/view/the-beatles/hey-bulldog"
"133","The Beatles","Hey Bulldog","Verse","cm-G7-cm-fm-Eb-G7-cm-G7-cm-fm-cm","http://www.hooktheory.com/theorytab/view/the-beatles/girl"
"134","The Beatles","Hey Bulldog","Chorus","Eb-gm-fm-Bb7-Eb-gm-fm-Bb7","http://www.hooktheory.com/theorytab/view/the-beatles/girl"
"135","The Beatles","Hey Bulldog","Bridge","fm-C-fm-C-fm-C-fm-Ab","http://www.hooktheory.com/theorytab/view/the-beatles/girl"
"136","The Beatles","Girl","Verse","E-bm-f#m7-f#m7-c#m7-c#m7-F#7-F#7-Amaj7-Amaj7-B7-B7-Amaj7-Amaj7-B7-B7","http://www.hooktheory.com/theorytab/view/the-beatles/shes-leaving-home"
"137","The Beatles","She's Leaving Home","Verse","G-G-G-D7-em-B7-am7-D-G-F-G","http://www.hooktheory.com/theorytab/view/the-beatles/i-dont-want-to-spoil-the-party"
"138","The Beatles","She's Leaving Home","Chorus","G-G-em7-A-C-D","http://www.hooktheory.com/theorytab/view/the-beatles/i-dont-want-to-spoil-the-party"
"139","The Beatles","I Don't Want To Spoil The Party","Verse","A-D-D-D-f#m-A-A-f#m7-f#m-D-D-D-f#m-A-A-f#m7-f#m7-D-f#m-D-D-D","http://www.hooktheory.com/theorytab/view/the-beatles/she-came-in-through-the-bathroom-window"
"140","The Beatles","She Came in through the Bathroom Window","Verse","c#m-c#m-E-E-c#m-c#m-f#m-f#m-am-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/all-ive-got-to-do"
"141","The Beatles","ALL I'VE GOT TO DO","Verse","F-C-fm-fm7-Bb-fm-Bb-fm-Bb","http://www.hooktheory.com/theorytab/view/the-beatles/fixing-a-hole"
"142","The Beatles","Fixing A Hole","Verse","D-D7-bm7-B-b6-D-D7-bm7-B-b6-D-D7-bm7-B-b6-D-D7-bm7-B-b6","http://www.hooktheory.com/theorytab/view/the-beatles/dear-prudence"
"143","The Beatles","Dear Prudence","Verse","am-Fmaj7-A7-dm-G7-C-A7-D-G7-C-E7","http://www.hooktheory.com/theorytab/view/the-beatles/your-mother-should-know"
"144","The Beatles","Your Mother Should Know","Chorus","Eb-D-gm-gm-C7-F-Bb-A-b(add9)-Bb7-Ab-Bb7-Ab-Bb-Bb7","http://www.hooktheory.com/theorytab/view/the-beatles/martha-my-dear"
"145","The Beatles","Martha My Dear","Verse","A-F#-B-E-A-A-F#-B-E-A","http://www.hooktheory.com/theorytab/view/the-beatles/good-day-sunshine"
"146","The Beatles","Martha My Dear","Chorus","B-F#-B-F#-E7","http://www.hooktheory.com/theorytab/view/the-beatles/good-day-sunshine"
"147","The Beatles","Good Day Sunshine","Verse","A-bm-E7-D-D","http://www.hooktheory.com/theorytab/view/the-beatles/only-a-northern-song"
"148","The Beatles","Good Day Sunshine","Chorus","E-bm7-G-C#7-F#7-bm-F#7-D-A-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/only-a-northern-song"
"149","The Beatles","Only a Northern Song","Verse","G-F#-bm-C-D-G-F#-C-D-G-F#-F-D","http://www.hooktheory.com/theorytab/view/the-beatles/sexy-sadie"
