"","artist","song","song_parts","chords","link"
"130","Taylor Swift","King Of My Heart","Bridge","C-G-dm-F-C-G-dm-F","http://www.hooktheory.com/theorytab/view/taylor-swift/king-of-my-heart"
"131","Taylor Swift","Teardrops On My Guitar","Intro","Bb-gm7-Eb-F7","http://www.hooktheory.com/theorytab/view/taylor-swift/teardrops-on-my-guitar"
"132","Taylor Swift","Teardrops On My Guitar","Verse","Bb-gm7-Eb-F7-Bb-gm7-Eb-F7-gm7-Eb-Bb-F","http://www.hooktheory.com/theorytab/view/taylor-swift/teardrops-on-my-guitar"
"133","Taylor Swift","Teardrops On My Guitar","Chorus","Bb-F-gm7-Eb-Bb-F-gm7-Eb","http://www.hooktheory.com/theorytab/view/taylor-swift/teardrops-on-my-guitar"
"134","Taylor Swift","Call It What You Want","Verse","D-A-E-D-f#m7-D-A-E-D-f#m7","http://www.hooktheory.com/theorytab/view/taylor-swift/call-it-what-you-want"
"135","Taylor Swift","Call It What You Want","Pre-Chorus","D-A-E-D-f#m7-D-A-E-D-f#m7","http://www.hooktheory.com/theorytab/view/taylor-swift/call-it-what-you-want"
"136","Taylor Swift","Call It What You Want","Chorus","D-A-E-D-f#m7-D-A-E-D-f#m7","http://www.hooktheory.com/theorytab/view/taylor-swift/call-it-what-you-want"
"137","Taylor Swift","Call It What You Want","Bridge","D-E-f#m7-E-D-E-f#m7-D-E-f#m7-E-D-E-f#m7","http://www.hooktheory.com/theorytab/view/taylor-swift/call-it-what-you-want"
"138","Justin Bieber","Sorry","Pre-Chorus","Ab-cm7-Bb-Ab-cm7-Bb-Ab-cm7-Bb-fm-Ab-Bb","http://www.hooktheory.com/theorytab/view/justin-bieber/sorry"
"139","Justin Bieber","Sorry","Chorus","Ab-cm7-Bb-Ab-cm7-Bb-Ab-cm7-Bb-fm-Ab-Bb","http://www.hooktheory.com/theorytab/view/justin-bieber/sorry"
"140","Justin Bieber","What Do You Mean","Intro","D-bsus2-Ab-fm-E-bsus4-D-bsus2-D-bsus2-Ab-fm-E-bsus4-D-bsus2","http://www.hooktheory.com/theorytab/view/justin-bieber/what-do-you-mean"
"141","Justin Bieber","What Do You Mean","Chorus","Db-Eb-Ab-fm-b-b7sus2-Eb-fm-Db-Ab-Db-Eb-Ab-fm-b-b7sus2-Eb-fm-Db","http://www.hooktheory.com/theorytab/view/justin-bieber/what-do-you-mean"
"142","Justin Bieber","Baby","Verse","Eb-cm-Ab","http://www.hooktheory.com/theorytab/view/justin-bieber/baby"
"143","Justin Bieber","Love Yourself","Pre-Chorus","c#m-A-E-c#m-A-E-c#m-A-E-B-c#m-A-B-E-B-c#m-A-E-Asus2","http://www.hooktheory.com/theorytab/view/justin-bieber/love-yourself"
"144","Justin Bieber","Beauty And A Beat","Intro","F-dm7-am-Gsus4-F-dm7-am-Gsus4-F-dm7-am-Gsus4-F-dm7-am-Gsus4","http://www.hooktheory.com/theorytab/view/justin-bieber/beauty-and-a-beat"
"145","Justin Bieber","Beauty And A Beat","Chorus","F-G-am-C-F-G-am-C-F-G-am-C-F-G-am-C","http://www.hooktheory.com/theorytab/view/justin-bieber/beauty-and-a-beat"
"146","justin bieber","boyfriend","Intro","dm-em-dm-C-em-F-C-bo-F-dm-em-C-G-am-G-F-dm-C-em-F-G-am","http://www.hooktheory.com/theorytab/view/justin-bieber/boyfriend"
"147","justin bieber","boyfriend","Chorus","b-bm-e-bm-Ab-Dbbbm-e-bm-Ab-Dbbbm-e-bm-Ab-Dbbbm-e-bm-Ab-Db","http://www.hooktheory.com/theorytab/view/justin-bieber/boyfriend"
"148","Justin Bieber","Purpose","Intro","F-C-F-G-C-am-G-em-F-C-F-G-C","http://www.hooktheory.com/theorytab/view/justin-bieber/purpose"
"149","Justin Bieber","Company","Chorus","","http://www.hooktheory.com/theorytab/view/justin-bieber/company"
"150","Justin Bieber","As Long As You Love Me","Chorus","Bb-cm-A-b(add9)-Bb-cm-A-b(add9)-Bb","http://www.hooktheory.com/theorytab/view/justin-bieber/as-long-as-you-love-me"
"151","Katy Perry","Firework","Verse","Ab-G-bmaj7-fm-D-b(add9)-Ab-G-bmaj7-fm-D-b(add9)-Ab-G-bmaj7-fm-D-b(add9)-Ab-G-bmaj7-fm-D-b(add9-)","http://www.hooktheory.com/theorytab/view/katy-perry/firework"
"152","Katy Perry","Firework","Pre-Chorus","Abbbm-fm7-D-b(add9)-Abbbm-fm7-D-b(add9-)","http://www.hooktheory.com/theorytab/view/katy-perry/firework"
"153","Katy Perry","Firework","Chorus","Abbbm7-fm7-Db-Abbbm-fm-Db-Abbbm-fm-Db-Abbbm-fm-Db","http://www.hooktheory.com/theorytab/view/katy-perry/firework"
